customer_tweet_id,customer_text,actual_brand_reply_from_dataset,gold_intent,gold_escalate,gold_escalate_notes,review_flag
99913,"Seriously annoyed that my mattress from @115821 hasn't arrived yet and tracking says ""wait a few days""",@137877 I'm so sorry for the wait! What was the original estimated delivery date? ^DY,delivery_or_shipping_issue,False,,
1151136,@AmazonHelp Got it working. Thx.,@390892 Thanks for the update! Please let us know if you need any further assistance. ^BH,compliment_or_other,False,,
998194,@AmazonHelp Already shared.!,@353516 Thanks for responding. Kindly wait and our team will contact you at the earliest. ^GD,general_inquiry,False,,
1605142,@AmazonHelp setting up a new echo dot and it won't accept my Canadian address and postal code for location.,@492403 Let's troubleshoot this in real time. Please call or chat with us here: https://t.co/8aLWUDKw7H ^BA,general_inquiry,False,,
862505,@115850 @AmazonHelp #cheating  careless  orderd 5738 received 3738 replacement is also the same #AmazonEffect #bechoaurbhago https://t.co/TalRcEL43r,"@324801 Please don’t provide the order details, we consider it to be personal info. Our Twitter page is visible to public. 2/2 ^MA",product_defect_or_wrong_item,True,,CHECK ME - escalate=TRUE
818202,@AmazonHelp Consistently. I would really prefer actual dates to “guaranteed” ones. No matter the cost.,@314885 I understand your frustration. Are you noticing this trend with a certain carrier: https://t.co/q4LAMZ3tbE? ^GG,delivery_or_shipping_issue,False,,
2508094,"@AmazonHelp My password is working normally and I can sign-in and view Prime video, order goods and view my orders. It’s just the Music function that is sending an endless sing-in error cycle",@715038 I'm sorry you're still having trouble listening to music! Please delete the app and re-download it. Let us know if the problem continues! ^BN,account_or_login_issue,False,,
2958541,Hi @AmazonHelp I submitted a return request last week that needed seller review. Can you help me w/the status?,"@816566 We will do our best! We aren't able to view your account via Twitter, but what is the current status of your return shown here: https://t.co/hFnl9Usam7 ^AD",refund_or_return,False,,
235131,When @AmazonHelp says they’ll replace your lost parcel at no extra cost yet you still get a £1 charge from them... 🤔,"@171997 A £1.00 authorisation charge can happen at dispatch, even if it's no cost. The charge will fall off in a day or two. ^MJ",billing_or_payment_issue,False,,
301050,"Hey @116090: stop hiring random morons to deliver. Didn’t call me, left opened pkg in hallway in HUGE bag. #Unacceptable https://t.co/8xts6gkUx7",@187800 I'm sorry for the frustration! What carrier delivered the package? You can find that here: https://t.co/PyACxvY8Qo ^JF,compliment_or_other,True,,CHECK ME - escalate=TRUE
2841861,"@115850 Was recharging my Airtel mobile number using Amazon Pay Balance (405-4894189-9128347).After recharging,I received an email stating recharge failed, amount refunded as Gift Card + Amazon Pay Balance.But I didn't receive the refunds.
Please check the screenshots,
Kaushik https://t.co/BUZTR1AEnY","@790721 We're sorry to know about the issues with recharge, Kaushik. Please reach out to us, here: https://t.co/vlvfJr4nN9 and we'll check this for you. Please don’t provide your details as we consider them to be personal info. Our Twitter page is visible to public. ^YP",refund_or_return,False,,
1380593,@AmazonHelp My delivery date was just updated to a three day window without explanation. Incredibly frustrating.,@441365 I understand how frustrating this is. Have you reached us for your available options using ^SY's link? ^DW,delivery_or_shipping_issue,False,,
2284193,@AmazonHelp no reason. Tried to get a refund on my shipping was told I had to wait until Tuesday to see if it gets delivered or not,@663792 I see. Thank you for confirming! Please allow us another opportunity to resolve this for you by phone or chat here: https://t.co/hApLpMlfHN. We want to make this right! ^SD,refund_or_return,False,,
550499,@115830 not looking good as a prime customer next day delivery still no sign so why do i pay for this service ?,"@248244 I am sorry for your disappointment with this order! It is never our intention! Have we missed a delivery date quoted in your confirmation email? You can check here:  https://t.co/aaDyEz1VgE Let us know Karl, we are here to help! ^DJ",delivery_or_shipping_issue,False,,
986352,"@115850 @115821 @AmazonHelp : outrageous!my uncle ordrd mobile # 405-5688067-2004349.D mobile was returned,but the amount was not refunded","@353765 Also, please don’t provide your order details as its personal information. Our Twitter page is visible to public. 2/2 ^RS",refund_or_return,True,,CHECK ME - escalate=TRUE
2586334,@AmazonHelp Both items shipped two days ago &amp; I have yet to receive them 😩,@732849 I'm sorry your items are taking longer than expected to arrive! What is the most recent tracking information state? You can check here: https://t.co/Y5jpI9gRhE ^BN,delivery_or_shipping_issue,False,,
820637,@AmazonHelp Okay! Will be waiting for that.👍🏻,"@315474 Awesome, definitely a great watch! :D ^HD",general_inquiry,False,,
2869575,@AmazonHelp Roughly Thursday. Thanks for your help? :),"@796868 Thanks for letting us know! If a carrier delivery update was received, please allow for delivery by the date provided and keep us posted. I really hope this didn't cause too much of an inconvenience for you. ^QJ",general_inquiry,False,,
2662757,"@AmazonHelp @115850 is this a joke now i get a email saying we are unable to search your account, can you please take this issue as a priority and fiz this",@750435 I understand your concern. Kindly reply to the latest correspondence sent by our team for further assistance. Appreciate your understanding. ^GD,account_or_login_issue,False,,CHECK ME - escalate=TRUE
234768,@AmazonHelp @115851 @115850 @10265 From 22nd September I m writing &amp; twitting but Amazon always reply that it will credit on 25sep then 28th then 1st then 3 then 5th Oct but,@171905 Sorry for any inconvenience. Please reply to our correspondence so that we could assist you accordingly. ^GS,refund_or_return,True,,CHECK ME - escalate=TRUE
1051929,"@AmazonHelp Order 
202-0668226-2705165 is now over 10 days late for delivery. Please can you cancel and refund item. Many thanks.","@273534 Hi, we do not have access to your account via Twitter. You can cancel your order here: https://t.co/aaDyEz1VgE ^CR",order_cancellation,False,,
2817845,@115821 why does the vinyl have auto rip but the CD doesnt? https://t.co/MWpVhvp65Z,"@785469 Thanks for reaching out to our Social Media team! We're here to help! Just to confirm, is the CD shipped and sold by Amazon? You can confirm if it is eligible for AutoRip here: https://t.co/jWIK8Se2Ec. ^VB",general_inquiry,False,,
651527,@115821 How come every time I send an email to cust. support I get an auto-reply that you will contact me soon and never do?,@274948 Sorry to hear it- Have you tried to reach us via phone or chat for faster response? ^NV,compliment_or_other,True,,CHECK ME - escalate=TRUE
292333,"@AmazonHelp Promotion is advertised here: https://t.co/t0E3aW4WTg

I purchased the ASUS 1080 Ti linked on that page, was told by a rep it isn't eligible","@185625 So sorry for the issues, Cody. I'm unable to see the promo on the page you provided. Can you link us to the promo directly? ^AD",general_inquiry,False,,
572839,"Had to cancel this order from @115850 on 28th Nov and it's been 5 days already with no update on my refund as well the 3k Amazon card voucher that I used. What's wrong with your #customerservice #amazon?!? My 30,000 is stuck! This is just unacceptable!! https://t.co/tN1uEyQWoy","@254616 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. (2/2) ^JS",refund_or_return,True,,CHECK ME - escalate=TRUE
2906573,"So @115830 left my delivery (which contained an expensive electronic item) in the garden, all day.. unsheltered! Oh and it rained. . . #nothappy #useyourhead #merryxmas https://t.co/zZCbNvd1Gq","@498268 I'm so sorry your parcel was left out in the rain! Is the item okay? Also, just to clarify, is the back garden not the safe place you selected? ^WJ",compliment_or_other,False,,CHECK ME - escalate=TRUE
12556,"@115850 My friends are returning Amazon's return policy in India directly,
 they are cutting your pockets https://t.co/1h5lBnZGh9",@170829 We're sorry you feel this way. Please contact our support team here: https://t.co/vlvfJr4nN9 and we'll investigate this. ^ZH,general_inquiry,False,,
2758150,@AmazonHelp Is any timeline? Should I cancel my order? Please let me know,@771844 The issue is being looked into and the team would connect with you shortly. If you do not wish to wait any longer you may cancel the order and place a new one. ^KK,order_cancellation,False,,
365219,@AmazonHelp Bought a note8 as per the terms and instructions I registered with galaxy app and within 4 days I should have got the coupon to redeem the,"@202516 We'd like to get this checked, could you help us with the link to this offer? ^MA",general_inquiry,False,,
2735694,One day @115821 will hire delivery drives that can read an address label. One day... not today though.  😑,"@400341 It sounds like you had a bad experience, my apologies. Without providing any account information can you give us some more details? ^CH",delivery_or_shipping_issue,False,,
1554354,"Great customer service from Jürgen at @116316 , thanks!",@480784 Thanks 🙂 You are welcome. Kind regards ^TR,compliment_or_other,False,,
